Timestamp,Raw_ECG,Filtered_ECG
1745522178.652985,84,-4.2872429550579305
1745522178.670104,84,-4.230124331655588
1745522178.776858,86,-4.106512652547394
1745522178.8484893,88,-4.004243470866328
1745522178.88463,89,-3.658780939842053
1745522178.9164276,94,-3.4698421534199646
1745522178.9459457,94,-2.985007505564578
1745522178.9788609,99,-2.4782540242323137
1745522179.0109127,96,-1.7415420295016446
1745522179.0425038,98,-0.8579031951444378
1745522179.072697,92,0.34445691444209814
1745522179.1054265,91,1.3137912987829523
1745522179.136645,83,3.183372846536461
1745522179.1697779,85,3.812484394591364
1745522179.2017322,78,5.98082362153267
1745522179.2472064,82,6.8818727503484025
1745522179.2812815,75,8.520830543340468
1745522179.3101962,80,10.641486503975514
1745522179.3578427,76,11.09798418166596
1745522179.391458,82,14.030930333247374
1745522179.4212863,75,15.242199004780343
1745522179.4534929,81,16.32870823733032
1745522179.4852726,76,20.97863519249328
1745522179.5186238,82,18.73702078022115
1745522179.548663,76,24.580858099742997
1745522179.580021,81,28.145793752057838
1745522179.613289,77,16.58479773453034
1745522179.6440868,82,8.126733729018339
1745522179.6759627,77,7.257600866883257
1745522179.7074268,82,5.972035620786718
1745522179.740303,80,4.814776126259394
1745522179.7728727,82,3.218766858313124
1745522179.8022237,80,1.7932049100594742
1745522179.8351114,82,-0.0075441097369797205
1745522179.8677075,80,-1.1895148057297114
1745522179.8970752,82,-2.281220521085352
1745522179.9302611,82,-2.9961978539295835
1745522179.9609282,83,-3.0129106218761814
1745522179.9951715,83,-2.79883011133208
1745522180.0250435,82,-2.61255830395309
1745522180.0565574,84,-2.595105763605554
1745522180.0899405,81,-2.5364785722674466
1745522180.119932,83,-2.5496698010754137
1745522180.152559,81,-2.3335574583935497
1745522180.1828918,85,-2.9703338425207164
1745522180.2151496,82,-3.268054663062859
1745522180.246626,85,-3.4191382797178456
1745522180.2767515,82,-3.2974018128240807
1745522180.3091319,89,-3.909589875591796
1745522180.3404014,82,-3.8092723193438047
1745522180.3726285,88,-4.2296497002909
1745522180.4003665,83,-3.854392768207658
1745522180.4322996,87,-4.2509492255836685
1745522180.4640102,80,-4.202212226769603
1745522180.4961941,85,-4.243304332257878
1745522180.5281847,80,-4.181092824786862
1745522180.5596101,84,-4.770465009214844
1745522180.6072154,79,-4.496773822226627
1745522180.6402059,80,-4.651042360299359
1745522180.670378,68,-4.050288032369924
1745522180.7017965,109,-6.126262479312592
1745522180.7333872,139,-7.72229664068572
1745522180.7642355,109,-6.2268913030391655
1745522180.7968128,85,-5.242260286356922
1745522180.8273401,84,-5.0660276352670355
1745522180.858744,79,-4.66467638467903
1745522180.8932512,82,-4.933103342165815
1745522180.9372506,79,-4.457972938758328
1745522180.9767845,82,-4.424153092758164
1745522181.0087926,81,-4.213337803850363
1745522181.0402677,82,-4.281685754080478
1745522181.0865853,81,-4.549449239811487
1745522181.1178172,82,-4.060241088046625
1745522181.1497333,83,-4.232341150277246
1745522181.1819358,83,-4.735360526908873
1745522181.2140942,85,-4.482011794738366
1745522181.2462208,86,-4.677374479511154
1745522181.276862,91,-4.718777353342908
1745522181.3073823,90,-4.7036943148300185
1745522181.338831,95,-4.463747377850754
1745522181.371307,93,-3.47459832049603
1745522181.4030325,97,-4.415460367245609
1745522181.4354277,91,-2.6077519413279755
1745522181.4661353,94,-3.0464984538027684
1745522181.4974463,84,-2.7546783289775476
1745522181.5294635,86,2.361706942725702
1745522181.5611682,77,-1.7281480844425934
1745522181.5927818,81,-12.930555621314591
1745522181.6257577,73,-12.266491140524536
1745522181.6565237,78,-6.922590018696524
1745522181.6898315,73,-4.038863017559331
1745522181.7217238,78,-3.398004175388237
1745522181.7517664,73,-2.751635296020163
1745522181.785739,79,-2.671994181908265
1745522181.8172843,73,-2.1745277166699344
1745522181.8491437,79,-2.458962341030367
1745522181.8807282,74,-2.0209478304476485
1745522181.9120007,78,-1.9302301430394002
1745522181.942246,74,-1.5714392485871886
1745522181.97506,78,-1.7852375694280862
1745522182.0063524,76,-1.7058841336167405
1745522182.0384,79,-1.8411357957345262
1745522182.0701475,76,-2.0067879959506603
